16:34:57.098147 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:34:57.864276 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:34:58.865506 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:35:02.913186 IP6 fe80::a4bc:138f:d34c:47a1.52002 > ff02::c.3702: UDP, length 652
16:35:02.914123 IP 192.168.139.1.52001 > 239.255.255.250.3702: UDP, length 652
16:35:03.090235 IP 192.168.139.1.52001 > 239.255.255.250.3702: UDP, length 652
16:35:03.105623 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:35:03.155108 IP6 fe80::a4bc:138f:d34c:47a1.52002 > ff02::c.3702: UDP, length 652
16:35:03.439646 IP 192.168.139.1.52001 > 239.255.255.250.3702: UDP, length 652
16:35:03.606545 IP6 fe80::a4bc:138f:d34c:47a1.52002 > ff02::c.3702: UDP, length 652
16:35:03.867445 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:35:03.876738 ARP, Request who-has 192.168.139.1 (Broadcast) tell 192.168.139.142, length 46
16:35:03.876765 ARP, Request who-has 192.168.139.2 (Broadcast) tell 192.168.139.142, length 46
16:35:03.876773 ARP, Request who-has 192.168.139.3 (Broadcast) tell 192.168.139.142, length 46
16:35:03.876812 ARP, Request who-has 192.168.139.4 (Broadcast) tell 192.168.139.142, length 46
16:35:03.876819 ARP, Request who-has 192.168.139.5 (Broadcast) tell 192.168.139.142, length 46
16:35:03.876851 ARP, Request who-has 192.168.139.6 (Broadcast) tell 192.168.139.142, length 46
16:35:03.876888 ARP, Request who-has 192.168.139.7 (Broadcast) tell 192.168.139.142, length 46
16:35:03.876972 ARP, Request who-has 192.168.139.8 (Broadcast) tell 192.168.139.142, length 46
16:35:03.876980 ARP, Request who-has 192.168.139.9 (Broadcast) tell 192.168.139.142, length 46
16:35:03.877014 ARP, Request who-has 192.168.139.10 (Broadcast) tell 192.168.139.142, length 46
16:35:03.877555 ARP, Reply 192.168.139.2 is-at 00:50:56:f4:3d:ae (oui Unknown), length 46
16:35:03.878568 ARP, Reply 192.168.139.1 is-at 00:50:56:c0:00:08 (oui Unknown), length 46
16:35:03.891084 IP 192.168.139.1.52001 > 239.255.255.250.3702: UDP, length 652
16:35:04.060241 IP6 fe80::a4bc:138f:d34c:47a1.52002 > ff02::c.3702: UDP, length 652
16:35:04.083675 ARP, Request who-has 192.168.139.3 (Broadcast) tell 192.168.139.142, length 46
16:35:04.084453 ARP, Request who-has 192.168.139.4 (Broadcast) tell 192.168.139.142, length 46
16:35:04.084770 ARP, Request who-has 192.168.139.5 (Broadcast) tell 192.168.139.142, length 46
16:35:04.085053 ARP, Request who-has 192.168.139.6 (Broadcast) tell 192.168.139.142, length 46
16:35:04.085323 ARP, Request who-has 192.168.139.7 (Broadcast) tell 192.168.139.142, length 46
16:35:04.085631 ARP, Request who-has 192.168.139.8 (Broadcast) tell 192.168.139.142, length 46
16:35:04.085869 ARP, Request who-has 192.168.139.9 (Broadcast) tell 192.168.139.142, length 46
16:35:04.086151 ARP, Request who-has 192.168.139.10 (Broadcast) tell 192.168.139.142, length 46
16:35:04.086391 ARP, Request who-has 192.168.139.13 (Broadcast) tell 192.168.139.142, length 46
16:35:04.086436 ARP, Request who-has 192.168.139.14 (Broadcast) tell 192.168.139.142, length 46
16:35:04.086449 ARP, Request who-has 192.168.139.15 (Broadcast) tell 192.168.139.142, length 46
16:35:04.086460 ARP, Request who-has 192.168.139.16 (Broadcast) tell 192.168.139.142, length 46
16:35:04.185792 ARP, Request who-has 192.168.139.13 (Broadcast) tell 192.168.139.142, length 46
16:35:04.186354 ARP, Request who-has 192.168.139.14 (Broadcast) tell 192.168.139.142, length 46
16:35:04.186746 ARP, Request who-has 192.168.139.19 (Broadcast) tell 192.168.139.142, length 46
16:35:04.186803 ARP, Request who-has 192.168.139.20 (Broadcast) tell 192.168.139.142, length 46
16:35:04.186817 ARP, Request who-has 192.168.139.21 (Broadcast) tell 192.168.139.142, length 46
16:35:04.186829 ARP, Request who-has 192.168.139.22 (Broadcast) tell 192.168.139.142, length 46
16:35:04.186840 ARP, Request who-has 192.168.139.23 (Broadcast) tell 192.168.139.142, length 46
16:35:04.186852 ARP, Request who-has 192.168.139.24 (Broadcast) tell 192.168.139.142, length 46
16:35:04.186861 ARP, Request who-has 192.168.139.25 (Broadcast) tell 192.168.139.142, length 46
16:35:04.187238 ARP, Request who-has 192.168.139.26 (Broadcast) tell 192.168.139.142, length 46
16:35:04.191593 ARP, Request who-has 192.168.139.15 (Broadcast) tell 192.168.139.142, length 46
16:35:04.191916 ARP, Request who-has 192.168.139.16 (Broadcast) tell 192.168.139.142, length 46
16:35:04.290098 ARP, Request who-has 192.168.139.19 (Broadcast) tell 192.168.139.142, length 46
16:35:04.290772 ARP, Request who-has 192.168.139.20 (Broadcast) tell 192.168.139.142, length 46
16:35:04.291025 ARP, Request who-has 192.168.139.21 (Broadcast) tell 192.168.139.142, length 46
16:35:04.291677 ARP, Request who-has 192.168.139.22 (Broadcast) tell 192.168.139.142, length 46
16:35:04.292370 ARP, Request who-has 192.168.139.23 (Broadcast) tell 192.168.139.142, length 46
16:35:04.292698 ARP, Request who-has 192.168.139.24 (Broadcast) tell 192.168.139.142, length 46
16:35:04.293041 ARP, Request who-has 192.168.139.25 (Broadcast) tell 192.168.139.142, length 46
16:35:04.293294 ARP, Request who-has 192.168.139.26 (Broadcast) tell 192.168.139.142, length 46
16:35:04.293668 ARP, Request who-has 192.168.139.31 (Broadcast) tell 192.168.139.142, length 46
16:35:04.293719 ARP, Request who-has 192.168.139.32 (Broadcast) tell 192.168.139.142, length 46
16:35:04.297501 ARP, Request who-has 192.168.139.35 (Broadcast) tell 192.168.139.142, length 46
16:35:04.297647 ARP, Request who-has 192.168.139.36 (Broadcast) tell 192.168.139.142, length 46
16:35:04.393307 ARP, Request who-has 192.168.139.31 (Broadcast) tell 192.168.139.142, length 46
16:35:04.393863 ARP, Request who-has 192.168.139.39 (Broadcast) tell 192.168.139.142, length 46
16:35:04.394990 ARP, Request who-has 192.168.139.40 (Broadcast) tell 192.168.139.142, length 46
16:35:04.395017 ARP, Request who-has 192.168.139.41 (Broadcast) tell 192.168.139.142, length 46
16:35:04.395028 ARP, Request who-has 192.168.139.42 (Broadcast) tell 192.168.139.142, length 46
16:35:04.395041 ARP, Request who-has 192.168.139.43 (Broadcast) tell 192.168.139.142, length 46
16:35:04.395052 ARP, Request who-has 192.168.139.44 (Broadcast) tell 192.168.139.142, length 46
16:35:04.395203 ARP, Request who-has 192.168.139.45 (Broadcast) tell 192.168.139.142, length 46
16:35:04.395360 ARP, Request who-has 192.168.139.46 (Broadcast) tell 192.168.139.142, length 46
16:35:04.404353 ARP, Request who-has 192.168.139.32 (Broadcast) tell 192.168.139.142, length 46
16:35:04.404898 ARP, Request who-has 192.168.139.35 (Broadcast) tell 192.168.139.142, length 46
